size;sizeNext;stage;stageNext;surv;offspringNext;fec1Bolt;fec2Stem;fec3Head;fec1BoltNext;fec2StemNext;fec3HeadNext;cloning;clonesNext
6.282965484;4.801938879;continuous;continuous;1;NA;0;NA;NA;1;2;1.5;0;NA
3.472842156;5.376433296;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
4.902599202;4.624504076;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.074348016;6.588023291;continuous;continuous;1;NA;0;NA;NA;1;2;3;0;NA
7.218641247;6.588023291;continuous;continuous;1;NA;0;NA;NA;1;2;3.5;0;NA
6.937394233;6.703945618;continuous;continuous;1;NA;1;1;4;1;1;4;0;NA
5.756454618;6.074348016;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
NA;5.154151225;NA;continuous;NA;sexual;NA;NA;NA;0;NA;NA;NA;NA
5.756454618;5.8408994;continuous;continuous;1;NA;1;1;2;1;2;1;0;NA
5.376433296;5.661988133;continuous;continuous;1;NA;1;2;2;1;1;1;0;NA
6.146373957;6.697979948;continuous;continuous;NA;clonal;1;1;1;1;1;3;NA;NA
6.074348016;6.213058619;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
5.427369819;5.585755409;continuous;continuous;1;NA;1;2;1.5;1;1;1;0;NA
5.552283698;5.154151225;continuous;continuous;1;NA;0;NA;NA;1;2;1.5;0;NA
6.046431264;6.937394233;continuous;continuous;1;NA;1;2;2;1;2;2;0;NA
6.215854322;3.789537581;continuous;continuous;NA;clonal;1;1;3;0;NA;NA;NA;NA
6.347865874;6.215854322;continuous;continuous;1;NA;1;2;2;1;2;0.5;0;NA
6.074348016;6.703945618;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.291260499;5.575728397;continuous;continuous;1;NA;1;1;0;1;1;2;1;1
3.472842156;4.052108374;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
5.575728397;6.347865874;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
5.957354353;5.756454618;continuous;continuous;1;NA;0;NA;NA;1;1;3;0;NA
5.585755409;6.074348016;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.438774614;6.588023291;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.074348016;6.575867382;continuous;continuous;1;NA;1;2;2.5;1;3;2.333333333;0;NA
5.76564542;6.046431264;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.530664886;5.756454618;continuous;continuous;1;NA;1;2;2.5;1;1;2;0;NA
6.471592224;5.255196899;continuous;continuous;1;NA;0;NA;NA;1;2;2.5;0;NA
4.496425841;5.76564542;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.347865874;6.046431264;continuous;continuous;1;NA;0;NA;NA;1;1;2;0;NA
3.472842156;5.863915965;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;1;1
NA;5.999579321;NA;continuous;NA;sexual;NA;NA;NA;1;1;1;NA;NA
6.802150734;5.996755028;continuous;continuous;1;NA;1;1;1;1;2;3;0;NA
6.291260499;6.471592224;continuous;continuous;1;NA;0;NA;NA;1;2;3;0;NA
4.902599202;5.478644248;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
3.231931034;NA;continuous;dead;0;NA;0;NA;NA;NA;NA;NA;0;NA
4.052108374;NA;continuous;dead;0;NA;0;NA;NA;NA;NA;NA;0;NA
6.347865874;5.427369819;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
5.427369819;5.868979123;continuous;continuous;1;NA;0;NA;NA;1;1;1;0;NA
6.824144513;6.530664886;continuous;continuous;1;NA;1;2;5.5;1;2;4.5;0;NA
5.478644248;5.427369819;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.291260499;6.282965484;continuous;continuous;1;NA;0;NA;NA;1;1;0;0;NA
NA;2.221458548;NA;continuous;NA;sexual;NA;NA;NA;0;NA;NA;NA;NA
6.471592224;6.471592224;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
5.06657016;5.163136901;continuous;continuous;1;NA;1;2;1;1;2;2.5;0;NA
NA;5.585755409;NA;continuous;NA;sexual;NA;NA;NA;0;NA;NA;NA;NA
4.052108374;NA;continuous;dead;0;NA;0;NA;NA;NA;NA;NA;0;NA
5.255196899;4.857952692;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
4.857952692;5.921846427;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
5.957354353;5.668188302;continuous;continuous;1;NA;0;NA;NA;1;2;1;0;NA
5.996755028;5.756454618;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
5.756454618;5.343156737;continuous;continuous;1;NA;0;NA;NA;1;2;2;0;NA
6.471592224;6.901119048;continuous;continuous;1;NA;1;1;2;1;1;1;0;NA
4.359333073;2.77851115;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
NA;4.624504076;NA;continuous;NA;sexual;NA;NA;NA;0;NA;NA;NA;NA
6.703945618;7.264602773;continuous;continuous;1;NA;1;1;3;0;NA;NA;0;NA
4.612355311;4.902599202;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
NA;5.06657016;NA;continuous;NA;sexual;NA;NA;NA;0;NA;NA;NA;NA
6.291260499;6.901119048;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
NA;2.221458548;NA;continuous;NA;sexual;NA;NA;NA;0;NA;NA;NA;NA
5.585755409;7.044467079;continuous;continuous;1;NA;1;3;1.666666667;0;NA;NA;0;NA
5.376433296;5.376433296;continuous;continuous;1;NA;1;3;2.666666667;1;1;1;0;NA
5.868979123;6.800379089;continuous;continuous;1;NA;1;1;0;0;NA;NA;0;NA
6.117697889;6.471592224;continuous;continuous;1;NA;1;1;1;1;2;1.5;0;NA
4.763081856;5.028763727;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
5.154151225;6.697979948;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
5.999579321;6.215854322;continuous;continuous;1;NA;1;2;2;1;2;2.5;0;NA
5.255196899;5.756454618;continuous;continuous;1;NA;1;2;2.5;1;2;2;0;NA
6.074348016;6.074348016;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.131549915;2.221458548;continuous;continuous;1;NA;0;NA;NA;1;1;3;0;NA
5.756454618;5.732415671;continuous;continuous;1;NA;0;NA;NA;1;1;1;0;NA
5.376433296;4.052108374;continuous;continuous;1;NA;1;2;1;1;2;1;0;NA
5.756454618;5.756454618;continuous;continuous;1;NA;0;NA;NA;1;1;1;0;NA
6.230034497;6.074348016;continuous;continuous;1;NA;1;2;2.5;1;1;2;0;NA
6.948810995;6.588023291;continuous;continuous;1;NA;0;NA;NA;1;1;3;0;NA
6.074348016;5.255196899;continuous;continuous;1;NA;1;1;0;1;1;2;0;NA
6.146373957;6.703945618;continuous;continuous;1;NA;1;1;3;0;NA;NA;0;NA
7.562306384;6.643765143;continuous;continuous;1;NA;0;NA;NA;1;1;1;0;NA
6.937394233;6.588023291;continuous;continuous;1;NA;0;NA;NA;1;1;1;0;NA
7.242578442;5.732415671;continuous;continuous;1;NA;0;NA;NA;1;1;3;0;NA
NA;7.242578442;NA;continuous;NA;sexual;NA;NA;NA;0;NA;NA;NA;NA
5.255196899;7.108205268;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.575867382;6.471592224;continuous;continuous;1;NA;0;NA;NA;1;2;2.5;0;NA
4.052108374;4.448326358;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.575867382;5.585755409;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.802150734;NA;continuous;dead;0;NA;0;NA;NA;NA;NA;NA;0;NA
2.221458548;5.863915965;continuous;continuous;1;NA;1;1;3;0;NA;NA;0;NA
6.131549915;6.508528422;continuous;continuous;1;NA;1;1;3;0;NA;NA;0;NA
4.902599202;5.508145338;continuous;continuous;1;NA;1;2;1;0;NA;NA;0;NA
5.996755028;5.957354353;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.347865874;5.376433296;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.215854322;6.948810995;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
NA;4.359333073;NA;continuous;NA;sexual;NA;NA;NA;0;NA;NA;NA;NA
