ID;treatment;site;plot;quadrat;x;y;shrub;compass;distance;year;pNow;ageNow;sizeNow;fec0Now;fec1No2;pNext;surv;ageNext;sizeNext;fec0Next;fec1Next
Control.II.5.2.46.42;Control;II;5;2;46;42;NA;NA;NA;2003;22.3266;NA;NA;NA;NA;55.8292;NA;1;1;0;0
Control.II.5.5.50.70;Control;II;5;5;50;70;NA;NA;NA;2003;22.3266;NA;NA;NA;NA;55.8292;NA;1;1;0;0
Control.II.5.5.50.70;Control;II;5;5;50;70;NA;NA;NA;2003;22.3266;NA;NA;NA;NA;55.8292;NA;1;1;0;0
Control.II.5.5.85.48;Control;II;5;5;85;48;NA;NA;NA;2003;22.3266;NA;NA;NA;NA;55.8292;NA;1;1;0;0
Control.II.5.5.85.48;Control;II;5;5;85;48;NA;NA;NA;2003;22.3266;NA;NA;NA;NA;55.8292;NA;1;1;0;0
Control.II.5.5.85.54;Control;II;5;5;85;54;NA;NA;NA;2003;22.3266;NA;NA;NA;NA;55.8292;NA;1;2;0;0
Control.II.5.8.50.26;Control;II;5;8;50;26;NA;NA;NA;2003;22.3266;NA;NA;NA;NA;55.8292;NA;1;1;0;0
Control.II.5.8.50.26;Control;II;5;8;50;26;NA;NA;NA;2003;22.3266;NA;NA;NA;NA;55.8292;NA;1;1;0;0
Control.II.5.9.50.47;Control;II;5;9;50;47;NA;NA;NA;2003;22.3266;NA;NA;NA;NA;55.8292;NA;1;1;0;0
Control.II.5.11.10.59;Control;II;5;11;10;59;NA;NA;NA;2003;22.3266;NA;NA;NA;NA;55.8292;NA;1;2;0;0
Control.II.5.12.72.30;Control;II;5;12;72;30;NA;NA;NA;2003;22.3266;NA;NA;NA;NA;55.8292;NA;1;1;0;0
Control.II.5.12.72.30;Control;II;5;12;72;30;NA;NA;NA;2003;22.3266;NA;NA;NA;NA;55.8292;NA;1;1;0;0
Control.III.9.2.30.48;Control;III;9;2;30;48;NA;NA;NA;2003;22.3266;NA;NA;NA;NA;55.8292;NA;1;3;0;0
