id;bald;year;size;ontogeny;fec0;fec1;surv;sizeNext;ontogenyNext
1478;1;1997;1;1;0;NA;1;3;0
1088;1;1997;1;0;0;NA;1;3;0
1541;1;1997;2;1;0;NA;1;1;0
1469;1;1997;2;1;0;NA;1;2;0
1470;1;1997;2;1;0;NA;1;3;0
1087;1;1997;2;0;0;NA;1;3;0
1540;1;1997;2;1;0;NA;1;3;0
1477;1;1997;2;1;0;NA;1;7;0
1462;1;1997;2;1;0;NA;0;NA;NA
1536;1;1997;2;1;0;NA;0;NA;NA
1555;1;1997;2;1;0;NA;0;NA;NA
1554;1;1997;3;1;0;NA;1;3;0
1502;1;1997;3;1;0;NA;1;16;0
1558;1;1997;3;1;0;NA;1;20;0
1498;1;1997;3;1;0;NA;1;26;0
1481;1;1997;3;1;0;NA;1;28;0
1464;1;1997;3;1;0;NA;1;41;0
1524;1;1997;3;1;0;NA;0;NA;NA
1537;1;1997;3;1;0;NA;0;NA;NA
1543;1;1997;3;1;0;NA;0;NA;NA
1560;1;1997;3;1;0;NA;0;NA;NA
1523;1;1997;4;1;0;NA;1;9;0
1563;1;1997;4;1;0;NA;1;12;0
1561;1;1997;4;1;0;NA;1;21;0
1066;1;1997;4;0;0;NA;1;26;0
1473;1;1997;4;1;0;NA;1;33;0
1460;1;1997;4;1;0;NA;1;34;0
1461;1;1997;4;1;0;NA;1;35;0
1085;1;1997;4;0;0;NA;0;NA;NA
1521;1;1997;4;1;0;NA;0;NA;NA
1522;1;1997;4;1;0;NA;0;NA;NA
1527;1;1997;4;1;0;NA;0;NA;NA
1544;1;1997;4;1;0;NA;0;NA;NA
1479;1;1997;5;1;0;NA;1;2;0
1564;1;1997;5;1;0;NA;1;15;0
1472;1;1997;5;1;0;NA;1;21;0
1482;1;1997;5;1;0;NA;1;27;0
1070;1;1997;5;0;0;NA;1;31;0
1476;1;1997;5;1;1;3;1;31;0
1474;1;1997;5;1;0;NA;1;32;0
1465;1;1997;5;1;0;NA;0;NA;NA
1501;1;1997;5;1;0;NA;0;NA;NA
1526;1;1997;5;1;0;NA;0;NA;NA
1548;1;1997;5;1;0;NA;0;NA;NA
1553;1;1997;5;1;0;NA;0;NA;NA
1546;1;1997;6;1;0;NA;1;2;0
1519;1;1997;6;1;0;NA;1;13;0
1475;1;1997;6;1;0;NA;1;28;0
1441;1;1997;6;1;0;NA;1;29;0
1529;1;1997;6;1;0;NA;0;NA;NA
1539;1;1997;6;1;0;NA;0;NA;NA
1550;1;1997;6;1;0;NA;0;NA;NA
1552;1;1997;6;1;0;NA;0;NA;NA
1446;1;1997;7;1;0;NA;1;21;0
