exactDate;exactDateNext;id;Species;Site;rtcr;rtcrNext;ll;llNext;rosetteDiam;rosetteDiamNext;flowered;surv
11/5/03;9/5/04;1;S.jacobea;A;2;NA;20;NA;25;NA;0;0
11/5/03;9/5/04;2;C.palustrae;A;1.5;1.2;11.5;18.7;17;27.5;0;1
11/5/03;9/5/04;3;C.palustrae;A;0.5;0.5;4;7.3;8;8.7;0;1
11/5/03;9/5/04;4;S.jacobea;A;0.5;NA;6;NA;9;NA;1;0
11/5/03;9/5/04;5;C.palustrae;A;2;NA;13;NA;18;NA;1;0
11/5/03;9/5/04;6;S.jacobea;A;0.7;NA;7.8;NA;11;NA;0;0
11/5/03;9/5/04;7;S.jacobea;A;0.6;NA;8.5;NA;10;NA;1;0
11/5/03;9/5/04;8;S.jacobea;A;0.3;0.4;4.5;10.3;7.5;9.5;0;1
11/5/03;9/5/04;9;C.palustrae;A;1.8;NA;13.8;NA;22;NA;1;0
11/5/03;9/5/04;10;S.jacobea;A;0.8;NA;12.2;NA;19;NA;1;0
11/5/03;9/5/04;11;C.palustrae;A;0.3;0.4;3.5;8.1;6;11.9;0;1
11/5/03;9/5/04;12;C.palustrae;A;0.2;0.5;3.5;10.5;4.5;13;0;1
11/5/03;9/5/04;13;C.palustrae;A;0.3;NA;3;NA;4.5;NA;0;0
11/5/03;9/5/04;14;S.jacobea;A;0.5;NA;7.3;NA;8.5;NA;1;0
11/5/03;9/5/04;15;S.jacobea;A;0.5;NA;9.2;NA;10;NA;1;0
11/5/03;9/5/04;16;C.palustrae;A;0.2;NA;2.5;NA;2.5;NA;0;0
11/5/03;9/5/04;17;C.palustrae;A;1.6;1.7;12;13.1;22;20;0;1
11/5/03;9/5/04;18;S.jacobea;A;0.8;NA;10;NA;18;NA;1;0
11/5/03;9/5/04;19;S.jacobea;A;0.5;NA;6.4;NA;9;NA;1;0
11/5/03;9/5/04;19.1;C.palustrae;A;1.6;1.5;13;15.1;19;21;0;1
11/5/03;9/5/04;20;C.palustrae;A;2.5;NA;10;NA;12;NA;1;0
11/5/03;9/5/04;21;C.palustrae;A;2.5;NA;8;NA;11;NA;0;0
12/5/03;9/5/04;22;C.palustrae;A;2;1.8;12.8;16.3;23;21.3;0;1
12/5/03;9/5/04;23;C.palustrae;A;2.5;2.6;10.5;13.6;17.5;22;0;1
12/5/03;9/5/04;24;C.palustrae;A;0.6;0.6;5.3;9.5;6;9.2;0;1
12/5/03;9/5/04;25;C.palustrae;A;3.2;3.5;12.3;16.2;19;30.5;0;1
12/5/03;9/5/04;26;C.palustrae;A;2.8;2.5;8.5;16;14;26;0;1
12/5/03;9/5/04;27;C.palustrae;A;3.5;NA;12.8;NA;22;NA;1;0
12/5/03;9/5/04;28;C.palustrae;A;0.4;0.4;6.3;9;11.3;9;0;1
12/5/03;9/5/04;29;C.palustrae;A;1.5;1.8;10.7;13.1;13;23.5;0;1
12/5/03;9/5/04;30;C.palustrae;A;0.3;NA;17.2;NA;31;NA;1;0
12/5/03;9/5/04;31;C.palustrae;A;1.6;NA;11.5;NA;18.1;NA;1;0
12/5/03;9/5/04;32;C.palustrae;A;0.7;2;7.1;7.4;12;14.6;0;1
12/5/03;9/5/04;33;S.jacobea;A;1.5;NA;12.2;NA;23.2;NA;1;0
12/5/03;9/5/04;34;C.palustrae;A;1.8;NA;19.4;NA;32.6;NA;1;0
12/5/03;9/5/04;35;C.palustrae;A;0.4;NA;4.9;NA;8.2;NA;0;0
12/5/03;9/5/04;36;S.jacobea;A;0.4;NA;7.1;NA;10.8;NA;0;0
12/5/03;9/5/04;37;S.jacobea;A;0.3;NA;8.1;NA;11.6;NA;0;0
12/5/03;9/5/04;38;S.jacobea;A;1.4;NA;18.6;NA;28.6;NA;1;0
12/5/03;9/5/04;39;S.jacobea;A;1.8;NA;9.4;NA;15.7;NA;0;0
12/5/03;9/5/04;40;S.jacobea;A;0.4;NA;6.6;NA;10.9;NA;1;0
12/5/03;9/5/04;41;C.palustrae;A;2;2.5;16.5;10.5;30;19.9;0;1
12/5/03;9/5/04;42;C.palustrae;A;2.5;NA;12.6;NA;25;NA;1;0
12/5/03;9/5/04;43;S.jacobea;A;0.7;NA;11.7;NA;21;NA;0;0
12/5/03;9/5/04;44;C.palustrae;A;2.5;NA;10.5;NA;14.4;NA;1;0
12/5/03;9/5/04;45;C.palustrae;A;0.3;NA;3.2;NA;6;NA;0;0
12/5/03;9/5/04;46;C.palustrae;A;0.1;0.9;1.8;8;3;11.2;0;1
12/5/03;9/5/04;47;C.palustrae;A;0.4;1.5;5.3;16.6;8.5;12.1;0;1
11/5/03;9/5/04;1;C.arvense;B;0.5;0.6;9;16.1;14;24.5;0;1
11/5/03;9/5/04;2;C.arvense;B;0.4;0.7;9;13.4;13;23.9;0;1
11/5/03;9/5/04;3;C.arvense;B;0.2;0.6;4;10.2;8;14;0;1
11/5/03;9/5/04;4;C.arvense;B;0.2;0.4;3.5;12;5;22.3;0;1
11/5/03;9/5/04;5;C.arvense;B;0.2;NA;5.5;NA;5;NA;1;0
11/5/03;9/5/04;6;C.arvense;B;0.4;NA;9.5;NA;13;NA;1;0
11/5/03;9/5/04;7;C.arvense;B;0.3;NA;5;NA;7.5;NA;0;0
11/5/03;9/5/04;8;C.arvense;B;0.6;NA;8;NA;11.5;NA;1;0
11/5/03;9/5/04;9;C.arvense;B;0.3;NA;5.8;NA;7;NA;0;0
11/5/03;9/5/04;10;C.arvense;B;0.4;0.4;3.6;11.5;5;17.1;0;1
11/5/03;9/5/04;11;C.arvense;B;0.3;0.7;5;15;8.5;17.8;0;1
12/5/03;9/5/04;12;C.vulgare;B;8;NA;36;NA;60;NA;1;0
12/5/03;9/5/04;13;S.jacobea;B;0.8;NA;13.4;NA;17;NA;1;0
12/5/03;9/5/04;14;C.arvense;B;0.6;NA;8.3;NA;11.5;NA;1;0
12/5/03;9/5/04;15;C.arvense;B;0.7;NA;12.6;NA;19;NA;1;0
12/5/03;9/5/04;16;C.arvense;B;0.7;NA;12.2;NA;18.5;NA;1;0
12/5/03;9/5/04;17;C.vulgare;B;1.8;NA;15.5;NA;29;NA;1;0
12/5/03;9/5/04;18;C.arvense;B;1.5;NA;16.9;NA;34;NA;1;0
12/5/03;9/5/04;19;C.arvense;B;0.4;NA;13.2;NA;13;NA;1;0
12/5/03;9/5/04;20;C.arvense;B;0.4;NA;7.9;NA;9;NA;1;0
12/5/03;9/5/04;21;C.arvense;B;0.5;NA;16.2;NA;22;NA;0;0
12/5/03;9/5/04;22;C.arvense;B;0.8;NA;16;NA;25.5;NA;1;0
12/5/03;9/5/04;23;C.vulgare;B;0.3;NA;7.5;NA;11;NA;0;0
13/05/2003;9/5/04;24;S.jacobea;B;1;NA;16.3;NA;18;NA;1;0
13/05/2003;9/5/04;25;S.jacobea;B;0.3;NA;9.5;NA;11;NA;1;0
13/05/2003;9/5/04;26;S.jacobea;B;0.6;NA;18.1;NA;13;NA;1;0
13/05/2003;9/5/04;27.1;S.jacobea;B;1.8;NA;18.2;NA;11.5;NA;1;0
13/05/2003;9/5/04;28.1;S.jacobea;B;1.8;NA;18.2;NA;17;NA;1;0
13/05/2003;9/5/04;29;C.vulgare;B;1;3;21;24;26;40;0;1
13/05/2003;9/5/04;30;S.jacobea;B;1.3;NA;15.5;NA;25;NA;1;0
13/05/2003;9/5/04;31;S.jacobea;B;0.8;0.8;10.5;12.2;20;18;0;1
13/05/2003;9/5/04;32.1;S.jacobea;B;0.6;0.5;12.6;10.2;19;12;0;1
13/05/2003;9/5/04;33;S.jacobea;B;0.6;NA;9.2;NA;14;NA;0;0
