TreeID	SpCode	Xsite	Ysite	GBH0	Date0	Status0	Dendro0	GBH1	Date1	Status1	Dendro1	GBH2	Date2	Status2	Dendro2	GBH3	Date3	Status3	Dendro3	GBH4	Date4	Status4	Dendro4	GBH5	Date5	Status5	Dendro5
A001	vain	650.05	56.35	71.4	0	A	0	73.7	1492	A	1	73.1	2802	A	1	74	4293	A	1	74.8	6240	A	1	75.5	7336	A	1
A002	agba	656	57	204.6	0	A	0	206.2	1492	A	0	206.4	2802	A	0	NA	4293	D	NA	NA	6240	D	NA	NA	7336	D	NA
A003	vain	659.8	60.1	92.5	0	A	0	98.7	1492	A	0	102.3	2802	A	1	106.7	4293	A	1	108.7	6240	A	1	111	7336	A	1
A004	vain	657.2	65.55	79.9	0	A	0	87.5	1492	A	0	90.5	2802	A	1	94.5	4293	A	1	97.5	6240	A	2	99.1	7336	A	2
A005	vain	657.25	64.75	41.5	0	A	0	45.2	1492	A	0	46.6	2802	A	0	47.6	4293	A	0	NA	6240	D	NA	NA	7336	D	NA
A006	hubr	657.95	64.8	30.6	0	A	0	32.9	1492	A	0	34.3	2802	A	0	34.9	4293	A	0	35.3	6240	A	0	35.1	7336	A	0
A007	hubr	654.2	65.35	40.6	0	A	0	41.4	1492	A	0	41.6	2802	A	0	41.7	4293	A	0	41.7	6240	A	0	41.8	7336	A	0
A008	hubr	653.8	62.75	36.5	0	A	0	38.3	1492	A	0	39.3	2802	A	0	40.6	4293	A	0	41.8	6240	A	0	42.4	7336	A	0
A009	vain	653	61.65	211.6	0	A	0	221.1	1492	A	0	227.2	2802	A	1	237.1	4293	A	1	246.2	6240	A	2	250.6	7336	A	2
A010	hubr	651.5	58.6	30	0	A	0	30.4	1492	A	0	30.6	2802	A	0	31.1	4293	A	0	31.3	6240	A	0	31.6	7336	A	0
A011	hubr	655.2	60.25	35.7	0	A	0	36.7	1492	A	0	36.9	2802	A	0	36.9	4293	A	0	37	6240	A	0	37.1	7336	A	0
A012	pael	657.25	67.75	102.1	0	A	0	103.3	1492	A	1	103.6	2802	A	1	103.9	4293	A	1	104.2	6240	A	1	NA	7336	D	NA
A013	drel	657	68.55	82.2	0	A	0	87.8	1492	A	0	90.3	2802	A	0	92.9	4293	A	0	95	6240	A	1	95.3	7336	A	1
A014	hubr	659.35	73.3	40.2	0	A	0	40.4	1492	A	0	40.5	2802	A	0	40.5	4293	A	0	40.5	6240	A	0	40.5	7336	A	0
A015	drel	654.65	75.2	45.1	0	A	0	47.3	1492	A	0	48.2	2802	A	0	48.8	4293	A	0	50.1	6240	A	0	50.2	7336	A	0
A016	vain	654.5	72.85	34.6	0	A	0	34.9	1492	A	0	35	2802	A	0	35	4293	A	0	35.1	6240	A	0	35.1	7336	A	0
A017	lemo	645.4	57.55	40.2	0	A	0	41.8	1492	A	0	42.1	2802	A	0	42.1	4293	A	0	42.1	6240	A	0	42.2	7336	A	0
A018	hubr	642.65	56.45	36.2	0	A	0	38.1	1492	A	0	39.5	2802	A	0	41.2	4293	A	0	42.4	6240	A	0	42.5	7336	A	0
A019	desi	641.95	58.85	50.4	0	A	0	52.8	1492	A	0	53.9	2802	A	0	54.1	4293	A	0	NA	6240	D	NA	NA	7336	D	NA
A020	vain	644.95	61.7	125.5	0	A	0	134.1	1492	A	0	140.1	2802	A	1	148	4293	A	1	154.8	6240	A	2	158.3	7336	A	2
A021	nobe	641.25	62.65	67.2	0	A	0	70.7	1492	A	0	72.3	2802	A	0	72.5	4293	A	0	72.8	6240	A	0	72.9	7336	A	0
A022	vain	641.8	63.85	82.3	0	A	0	87	1492	A	0	91	2802	A	0	94.9	4293	A	1	97.7	6240	A	1	99.1	7336	A	1
A023	pael	643.6	64.15	44.8	0	A	0	46.3	1492	A	0	46.8	2802	A	0	47.1	4293	A	0	48.3	6240	A	0	48.5	7336	A	0
A024	rean	643.75	65.1	37	0	A	0	41.6	1492	A	0	43.2	2802	A	0	44.4	4293	A	0	45.6	6240	A	0	46.1	7336	A	0
A025	knat	646.25	62.15	54.4	0	A	0	61.6	1492	A	0	65.6	2802	A	0	68.4	4293	A	0	72.9	6240	A	1	74.7	7336	A	1
