id;bald;fireYear;initial;year;TSLF;size;ontogeny;fec0;fec1;fec2;fec3;fec4;goSB;staySB;cov;surv;sizeNext;ontogenyNext;covNext
5;1;1967;1994;1994;27;1;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;6;0;1420.622
22;1;1967;1994;1994;27;1;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;0;NA;NA;1420.622
33;1;1967;1994;1994;27;1;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;0;NA;NA;1420.622
41;1;1967;1994;1994;27;2;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;3;0;1420.622
55;1;1967;1994;1994;27;2;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;11;0;1420.622
42;1;1967;1994;1994;27;2;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;13;0;1420.622
25;1;1967;1994;1994;27;2;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;0;NA;NA;1420.622
54;1;1967;1994;1994;27;3;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;4;0;1420.622
37;1;1967;1994;1994;27;3;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;6;0;1420.622
10;1;1967;1994;1994;27;3;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;46;0;1420.622
23;1;1967;1994;1994;27;3;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;0;NA;NA;1420.622
57;1;1967;1994;1994;27;3;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;0;NA;NA;1420.622
49;1;1967;1994;1994;27;4;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;5;0;1420.622
2;1;1967;1994;1994;27;4;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;7;0;1420.622
17;1;1967;1994;1994;27;4;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;11;0;1420.622
13;1;1967;1994;1994;27;4;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;19;0;1420.622
43;1;1967;1994;1994;27;5;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;39;0;1420.622
15;1;1967;1994;1994;27;6;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;21;0;1420.622
44;1;1967;1994;1994;27;7;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;3;0;1420.622
48;1;1967;1994;1994;27;7;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;17;0;1420.622
35;1;1967;1994;1994;27;7;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;0;NA;NA;1420.622
32;1;1967;1994;1994;27;8;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;10;0;1420.622
56;1;1967;1994;1994;27;8;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;0;NA;NA;1420.622
30;1;1967;1994;1994;27;9;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;17;0;1420.622
24;1;1967;1994;1994;27;9;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;0;NA;NA;1420.622
61;1;1967;1994;1994;27;10;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;37;0;1420.622
4;1;1967;1994;1994;27;13;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;3;0;1420.622
34;1;1967;1994;1994;27;14;1;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;0;NA;NA;1420.622
45;1;1967;1994;1994;27;15;0;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;30;0;1420.622
21;1;1967;1994;1994;27;16;0;1;2;14;0.001216;0.141421356;0.08234362;0.672;1481.836;1;38;0;1420.622
