id;bald;year;surv;size;ontogeny;fec0Flowering;fec1Fruits;sizeNext;ontogenyNext
1088;1;1997;1;1;0;0;0;3;0
1478;1;1997;1;1;1;0;0;3;0
1541;1;1997;1;2;1;0;0;1;0
1469;1;1997;1;2;1;0;0;2;0
1087;1;1997;1;2;0;0;0;3;0
1470;1;1997;1;2;1;0;0;3;0
1540;1;1997;1;2;1;0;0;3;0
1477;1;1997;1;2;1;0;0;7;0
1462;1;1997;0;2;1;0;0;NA;NA
1536;1;1997;0;2;1;0;0;NA;NA
1555;1;1997;0;2;1;0;0;NA;NA
1554;1;1997;1;3;1;0;0;3;0
1502;1;1997;1;3;1;0;0;16;0
1558;1;1997;1;3;1;0;0;20;0
1498;1;1997;1;3;1;0;0;26;0
1481;1;1997;1;3;1;0;0;28;0
1464;1;1997;1;3;1;0;0;41;0
1524;1;1997;0;3;1;0;0;NA;NA
1537;1;1997;0;3;1;0;0;NA;NA
1543;1;1997;0;3;1;0;0;NA;NA
1560;1;1997;0;3;1;0;0;NA;NA
1523;1;1997;1;4;1;0;0;9;0
1563;1;1997;1;4;1;0;0;12;0
1561;1;1997;1;4;1;0;0;21;0
1066;1;1997;1;4;0;0;0;26;0
1473;1;1997;1;4;1;0;0;33;0
1460;1;1997;1;4;1;0;0;34;0
1461;1;1997;1;4;1;0;0;35;0
1085;1;1997;0;4;0;0;0;NA;NA
1521;1;1997;0;4;1;0;0;NA;NA
1522;1;1997;0;4;1;0;0;NA;NA
1527;1;1997;0;4;1;0;0;NA;NA
1544;1;1997;0;4;1;0;0;NA;NA
1479;1;1997;1;5;1;0;0;2;0
1564;1;1997;1;5;1;0;0;15;0
1472;1;1997;1;5;1;0;0;21;0
1482;1;1997;1;5;1;0;0;27;0
1070;1;1997;1;5;0;0;0;31;0
1476;1;1997;1;5;1;1;3;31;0
1474;1;1997;1;5;1;0;0;32;0
1465;1;1997;0;5;1;0;0;NA;NA
1501;1;1997;0;5;1;0;0;NA;NA
1526;1;1997;0;5;1;0;0;NA;NA
1548;1;1997;0;5;1;0;0;NA;NA
1553;1;1997;0;5;1;0;0;NA;NA
1546;1;1997;1;6;1;0;0;2;0
1519;1;1997;1;6;1;0;0;13;0
1475;1;1997;1;6;1;0;0;28;0
1441;1;1997;1;6;1;0;0;29;0
1529;1;1997;0;6;1;0;0;NA;NA
1539;1;1997;0;6;1;0;0;NA;NA
1550;1;1997;0;6;1;0;0;NA;NA
1552;1;1997;0;6;1;0;0;NA;NA
1446;1;1997;1;7;1;0;0;21;0
1509;1;1997;0;7;1;0;0;NA;NA
1545;1;1997;0;7;1;0;0;NA;NA
1551;1;1997;0;7;1;0;0;NA;NA
1506;1;1997;1;8;1;1;1;2;0
1534;1;1997;0;8;1;0;0;NA;NA
1535;1;1997;0;8;1;0;0;NA;NA
1504;1;1997;1;9;1;0;0;6;0
49;1;1997;0;9;0;1;3;NA;NA
55;1;1997;0;9;0;1;12;NA;NA
1538;1;1997;0;9;1;0;0;NA;NA
1542;1;1997;0;9;1;0;0;NA;NA
1471;1;1997;1;10;1;0;0;3;0
1463;1;1997;1;10;0;1;19;5;0
1512;1;1997;1;10;1;0;0;7;0
1466;1;1997;1;10;1;1;2;23;0
1480;1;1997;1;10;1;0;0;29;0
1485;1;1997;1;10;1;0;0;29;0
1451;1;1997;1;10;1;1;3;31;0
30;1;1997;1;10;0;0;0;32;0
1486;1;1997;1;10;1;0;0;36;0
1562;1;1997;1;11;1;1;3;7;0
1495;1;1997;1;11;1;0;0;11;0
1490;1;1997;1;11;1;0;0;14;0
41;1;1997;1;11;0;0;0;15;0
1513;1;1997;1;11;1;0;0;24;0
43;1;1997;1;11;0;1;6;34;0
1507;1;1997;0;11;0;1;14;NA;NA
1530;1;1997;0;11;1;1;88;NA;NA
1556;1;1997;1;12;1;1;1;30;0
1062;1;1997;1;12;0;1;105;35;0
1442;1;1997;1;12;1;1;9;37;0
1060;1;1997;1;13;0;1;29;16;0
1458;1;1997;1;13;0;1;10;42;0
1457;1;1997;0;13;0;1;18;NA;NA
1503;1;1997;1;14;1;1;16;16;0
1505;1;1997;1;15;0;1;21;3;0
1077;1;1997;1;15;0;1;64;26;0
1069;1;1997;1;16;0;1;51;11;0
1450;1;1997;1;16;0;1;22;24;0
1071;1;1997;1;16;0;1;11;54;0
1528;1;1997;0;16;0;1;80;NA;NA
1445;1;1997;1;17;0;1;12;30;0
1525;1;1997;0;17;0;1;14;NA;NA
1499;1;1997;1;18;0;1;5;12;0
1515;1;1997;0;18;0;1;22;NA;NA
1459;1;1997;1;19;0;1;6;29;0
1547;1;1997;0;19;0;0;0;NA;NA
1454;1;1997;1;20;0;1;13;27;0
1443;1;1997;1;20;0;1;27;39;0
1500;1;1997;0;20;0;0;0;NA;NA
1531;1;1997;0;20;0;1;31;NA;NA
32;1;1997;1;21;0;1;32;32;0
36;1;1997;0;21;0;1;17;NA;NA
1518;1;1997;0;21;0;1;32;NA;NA
1533;1;1997;0;21;0;1;150;NA;NA
